Кузбасская Топливная Компания, ао;kuzbasskaya-toplivnaya-ratios
Куйбышевазот, ао;kuibyshevazot-ratios
Куйбышевазот, ап;kuibyshevazot-(pref)-ratios
Курганская генерирующая компания, ао;kurganskaya-generiruyushchaya-komp-ratios
Курганская генерирующая компания, ап;kurganskaya-generiruyushchaya-pref-ratios
Левенгук, ао;levenguk-oao-ratios
Лента;lenta-ltd-ratios
Лензолото;lenzoloto-oao-ratios
Лензолото, ао;lenzoloto-oao-ratios
Лензолото, ап;lenzoloto-oao-pref-ratios
Ленэнерго;lenenergo-ratios
Ленэнерго, ао;lenenergo-ratios
Ленэнерго - акции привилегированные;lenenergo-(pref)-ratios
Ленэнерго, ап;lenenergo-(pref)-ratios
Липецкая ЭСК, ао;lipetsk-power-sale-comp-ratios
ЛУКОЙЛ;lukoil_rts-ratios
Лукойл, ао;lukoil_rts-ratios
Магаданэнерго, ао;magadanenergo-ratios
Магаданэнерго, ап;magadanenergo-(pref)-ratios
Магнит;magnit_rts-ratios
Магнит, ао;magnit_rts-ratios
МГТС, ао;moscow-city-telephone-network-ratios
МГТС - акции привилегированные;mgts-(pref)-ratios
МГТС, ап;mgts-(pref)-ratios
МегаФон;megafon-oao-ratios
МегаФон, ао;megafon-oao-ratios
Медиа группа Война и Мир, ао;media-gruppa-voyna-i-mir-oao-ratios
Медиахолдинг (ранее О2ТВ), ао;o2-tv-ratios
Мечел;sg-mechel_rts-ratios
Мечел, ао;sg-mechel_rts-ratios
Мечел - Привилегированные акции;mechel-(pref)-ratios
Мечел, ап;mechel-(pref)-ratios
Магнитогорский металлургический комбинат;mmk_rts-ratios
ММК, ао;mmk_rts-ratios
Мордовская ЭСК, ао;mordovskaya-energosbytovaya-ratios
Московская Биржа;moskovskaya-birzha-oao-ratios
Московская Биржа, ао;moskovskaya-birzha-oao-ratios
МКБ;moskovskiy-kreditnyi-bank-oao-ratios
Московский Кредитный банк, ао;moskovskiy-kreditnyi-bank-oao-ratios
Мособлбанк, ао;mosoblbank-ratios
Мостотрест;mostotrest_rts-ratios
Мостотрест, ао;mostotrest_rts-ratios
Мосэнерго;mosenergo_rts-ratios
Мосэнерго, ао;mosenergo_rts-ratios
Мотовилихинские заводы, ао;motovilicha-plants-ratios
МОЭСК;mos-obl-sb_rts-ratios
МОЭСК, ао;mos-obl-sb_rts-ratios
МРСК Волги;mrsk-volgi-ratios
МРСК Волги, ао;mrsk-volgi-ratios
МРСК Северного Кавказа, ао;mrsk-severnogo-kavkaza-ratios
МРСК Северо-Запада;mrsk-severo-zapada-ratios
МРСК Северо-Запада, ао;mrsk-severo-zapada-ratios
МРСК Сибири;mrsk-sibiri-ratios
МРСК Сибири, ао;mrsk-sibiri-ratios
МРСК Урала;mrsk-urala-ao-ratios
МРСК Урала, ао;mrsk-urala-ao-ratios
МРСК Центра и Приволжья, ао;mrsk-cip-ratios
МРСК Центра и Приволжья;mrsk-cip-ratios
МРСК Центра;mrsk-centra-ratios
МРСК Центра, ао;mrsk-centra-ratios
МРСК Юга;mrsk-yuga-ratios
МРСК Юга, ао;mrsk-yuga-ratios
МТС;mts_rts-ratios
МТС, ао;mts_rts-ratios
Мультисистема;multisistema-oao-ratios
Мультисистема, ао;multisistema-oao-ratios
Мурманская ТЭЦ, ао;murmanskaya-tets-pao-ratios
Мурманская ТЭЦ, ап;murmanskaya-tets-pao-pref-ratios
Наука-Связь;nauka-svyaz-ratios
Наука-Связь, ао;nauka-svyaz-ratios
Нефтекамский автозавод, ао;nefaz-ratios
Нижнекамскшина, ао;nizhnekamskshina-ratios
НКХП;nkhp-pao-ratios
Нижнекамскнефтехим;nizhnekamskneftekhim-ratios
НКНХ, ао;nizhnekamskneftekhim-ratios
Нижнекамскнефтехим - акции привилегированные;nizhnekamskneftekhim-(pref)-ratios
НКНХ, ап;nizhnekamskneftekhim-(pref)-ratios
НЛМК;nlmk_rts-ratios
НЛМК, ао;nlmk_rts-ratios
НОВАТЭК;novatek_rts-ratios
НОВАТЭК, ао;novatek_rts-ratios
НМТП;nmtp_rts-ratios
Новороссийский морской торговый порт, ао;nmtp_rts-ratios
Обувь России;or-pao
ОВК;npk-ovk-pao-ratios
НПК ОВК, ао;npk-ovk-pao-ratios
НПО Наука, ао;nauka-ratios
Финансовая группа БУДУЩЕЕ;fg-budushcheye-pao-ratios
НПФ Будущее, ао;fg-budushcheye-pao-ratios
Объединенная авиастроительная корпорация;united-aircraft-corporation-ratios
Объединенная авиастроительная корпорация, ао;united-aircraft-corporation-ratios
Вторая генерирующая компания оптового рынка электроэнергии;ogk-2_rts-ratios
ОГК-2, ао;ogk-2_rts-ratios
ОКС, ао;obyedinennye-kreditnye-sist-ratios
ОМЗ, ап;omz-(pref)-ratios
ОМПК, ао;ostankinskiy-myasopererabatyva-ratios
Омскшина, ао;omskshina-oao-ratios
ИНГРАД;otkrytye-investitsii-oao-ratios
Отисифарм, ао;otcpharm-pao-ratios
Павловский автобус, ао;pavlovskiy-avtobus-oao-ratios
Пермэнергосбыт;perm-sb-ratios
Пермэнергосбыт (бывш. Пермская ЭСК), ао;perm-sb-ratios
Пермэнергосбыт - акции привилегированные;perm'-energosbyt-pref-ratios
Пермэнергосбыт (бывш. Пермская ЭСК), ап;perm'-energosbyt-pref-ratios
Плазмек, ао;plazmek-oao-ratios
Полюс Золото;polyus-zoloto_rts-ratios
Полюс (бывш. Полюс Золото), ао;polyus-zoloto_rts-ratios
Промсвязьбанк, ао;promsvyazbank-pao-ratios
ПРОТЕК;protek_rts-ratios
ПРОТЕК, ао;protek_rts-ratios
Распадская;raspadskaya-ratios
Распадская, ао;raspadskaya-ratios
РБК;rbk-tv-moskva-ratios
РБК (ранее РБК-ТВ Москва), ао;rbk-tv-moskva-ratios
РКК Энергия им.С.П.Королева;rsc-energia-ratios
РКК ЭНЕРГИЯ, ао;rsc-energia-ratios
РусАгро;ros-agro-plc-ratios
РОС АГРО ПЛС, ДР;ros-agro-plc-ratios
РОСБАНК, ао;rosbank-ratios
Росгосстрах, ао;rosgosstrakh-oao-ratios
РосДорБанк, ао;rosdorbank-pao-ratios
Росинтер Ресторантс Холдинг, ао;rosinter-restaurants-holding-ratios
Роснефть;rosneft_rts-ratios
Роснефть, ао;rosneft_rts-ratios
Российские сети;rosseti-ao-ratios
Россети, ао;rosseti-ao-ratios
Россети, ап;rosseti-ap-(pref)-ratios
Российские сети - акции привилегированные;rosseti-ap-(pref)-ratios
Ростелеком;rostelecom-ratios
Ростелеком, ао;rostelecom-ratios
Ростелеком - Привилегированные акции;rostelecom-(pref)-ratios
Ростелеком, ап;rostelecom-(pref)-ratios
РусАл;united-company-rusal-plc%60-ratios
РУСАЛ Плс, ао;united-company-rusal-plc%60-ratios
РУСАЛ Плс, ДР;united-co-rusal-ratios
РусГидро;gidroogk-011d-ratios
РусГидро, ао;gidroogk-011d-ratios
Русгрэйн;rusgrain-holding-oao-ratios
Русгрэйн Холдинг, ао;rusgrain-holding-oao-ratios
Русолово;rusolovo-oao-ratios
Русолово, ао;rusolovo-oao-ratios
Русполимет;ruspolimet-ratios
Русполимет, ао;ruspolimet-ratios
Русская Аквакультура (бывш. Русское море), ао;russian-sea-group-ratios
РуссНефть;ruspetro-ratios
РуссНефть, ао;ruspetro-ratios
Рязанская ЭСК, ао;ryazan-sb-ratios
Самараэнерго, ао;samaraenergo-ratios
Самараэнерго, ап;samaraenergo(pref)-ratios
Саратовский НПЗ, ао;saratov-oil-refenery-ratios
Саратовский НПЗ - акции привилегированные;saratov-oil-refenery-(pref)-ratios
